periode,ihpb_nasional,ihpb_industri,ihpb_impor,ihpb_ekspor,kurs_tengah,kurs_jual,kurs_beli,year,bulan,ihpb_nasional_pct_change,ihpb_industri_pct_change,ihpb_impor_pct_change,kurs_tengah_pct_change,kurs_spread,target_ihpb_h1,target_change_pct_h1,target_direction_h1,target_ihpb_h2,target_change_pct_h2,target_direction_h2,target_ihpb_h3,target_change_pct_h3,target_direction_h3
2021-01,148.57767707262755,100.44346136363173,104.30349361506684,103.54602779697622,14015.52,14085.6,13945.44,2021,1,0.5940213161489405,-0.9976911101154062,-0.7871401593216754,-0.6110615110671125,140.15999999999985,147.70870342319353,-0.5848615125469048,turun,147.90112357947493,-0.45535339257048196,stabil,148.78488041453764,0.13945792261162,stabil
2021-02,147.70870342319353,102.98012012,105.61011614,105.20467409,13999.61,14069.61,13929.61,2021,2,-0.5848615125469081,2.5254593200296993,1.252712138056733,-0.11351701542290371,140.0,147.90112357947493,0.13027001918099995,stabil,148.78488041453764,0.7285806228092104,naik,149.23046830673923,1.0302472693066433,naik
2021-03,147.90112357947493,104.27935949,105.88719968,105.3988097,14379.49,14451.39,14307.6,2021,3,0.13027001918100023,1.2616409540851636,0.26236458222683723,2.7135041619016365,143.78999999999905,148.78488041453764,0.5975321983188479,naik,149.23046830673923,0.8988063748886759,naik,149.2788181145566,0.9314970040382193,naik
2021-04,148.78488041453764,104.73267176,106.08142981,105.53477562,14561.08,14633.88,14488.27,2021,4,0.5975321983188397,0.43470948826020983,0.1834311707052283,1.2628403371746755,145.60999999999876,149.23046830673923,0.2994846593014763,stabil,149.2788181145566,0.33198111168471833,stabil,149.18446793747478,0.268567291127853,stabil
2021-05,149.23046830673923,105.39089884,106.42515019,105.85993614,14333.95,14405.62,14262.28,2021,5,0.2994846593014744,0.6284830406201758,0.32401559878634245,-1.5598430885621073,143.34000000000015,149.2788181145566,0.032399421087382856,stabil,149.18446793747478,-0.030825051872044793,stabil,149.70249385763847,0.3163064193627073,stabil
2021-06,149.2788181145566,105.5921065,106.74567017,106.2003533,14364.23,14436.05,14292.41,2021,6,0.032399421087392355,0.19091559348540788,0.30116939410258503,0.21124672543157974,143.63999999999942,149.18446793747478,-0.06320399523086874,stabil,149.70249385763847,0.28381504384416006,stabil,149.23091795461715,-0.03208771381260969,stabil
2021-07,149.18446793747478,106.22268916,106.98374181,106.16298739,14543.39,14616.1,14470.67,2021,7,-0.06320399523086495,0.5971873096404234,0.22302697582099462,1.2472649073427489,145.4300000000003,149.70249385763847,0.34723850768486564,stabil,149.23091795461715,0.03113596058930501,stabil,149.252561899276,0.04564413624464158,stabil
2021-08,149.70249385763847,106.99569105,107.1148337,106.25798632,14406.07,14478.1,14334.04,2021,8,0.347238507684855,0.7277182456147946,0.12253440362257617,-0.9442090186675856,144.0599999999995,149.23091795461715,-0.31500871553266774,stabil,149.252561899276,-0.300550743523577,stabil,149.3540850459472,-0.23273414003550913,stabil
2021-09,149.23091795461715,108.18545551,107.35078983,106.35327559,14270.02,14341.37,14198.67,2021,9,-0.31500871553267196,1.1119741816929762,0.220283336910021,-0.944393578540148,142.70000000000073,149.252561899276,0.014503659801536761,stabil,149.3540850459472,0.0825345665751976,stabil,149.64335765629264,0.27637684424142517,stabil
2021-10,149.252561899276,108.70024984,107.56582909,106.34491914,14194.09,14265.06,14123.12,2021,10,0.014503659801534674,0.47584430603282435,0.20031455785329833,-0.5320945590826076,141.9399999999987,149.3540850459472,0.0680210412332469,stabil,149.64335765629264,0.2618352087519704,stabil,149.96861753285188,0.47976103355539823,stabil
